timestamp,sender,receiver,message_type,message
21:31:36,priya,ALL,broadcast,hello everyone i am priya
21:31:46,rahul,ALL,broadcast,hi priya rahul this side
21:31:58,puja,ALL,broadcast,hey priya how have you been
21:32:12,kiran,ALL,broadcast,i am new to this group
21:33:06,vikram,ALL,broadcast,hii kiran
21:46:08,amit,ALL,broadcast,hello guys this time we are doing exp 2
21:46:15,priya,ALL,broadcast,ohh hi amit
21:46:27,rahul,ALL,broadcast,wow exp 1 is done!
21:46:59,sneha,ALL,broadcast,how much time does it take to perform the exp 1
21:47:06,jitu,ALL,broadcast,sounds cool
21:47:23,puja,ALL,broadcast,we are 8 people in this test
21:47:52,kiran,ALL,broadcast,yes puja you are right
21:48:17,vikram,ALL,broadcast,let's end this exp
22:01:56,amit,ALL,broadcast,msg 1
22:02:04,priya,ALL,broadcast,msg 2
22:02:09,rahul,ALL,broadcast,msg 3
22:02:14,sneha,ALL,broadcast,msg 4
22:02:20,jitu,ALL,broadcast,msg 5
22:02:26,vikram,ALL,broadcast,msg 6
22:02:35,rohit,ALL,broadcast,msg 7
22:02:46,arjun,ALL,broadcast,msg 8
22:03:24,kiran,ALL,broadcast,msg 9
22:03:36,puja,ALL,broadcast,msg 10
22:24:47,jitu,ALL,broadcast,hello i am testing wireshark broadcast message
22:31:31,jitu,jitu,private,now i am testing wireshark private message
